City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
377,sylvania,41.7189,-83.713,80.44,52,0,3.44,US,1689980142
378,tazovsky,67.4667,78.7,62.06,71,99,6.02,RU,1689980159
379,watertown,42.3709,-71.1828,78.37,77,100,12.66,US,1689980159
380,laguna,38.421,-121.4238,109.35,21,0,5.75,US,1689980091
381,buga,3.9009,-76.2978,82.11,71,100,1.52,CO,1689980159
382,el astillero,43.4009,-3.8205,66.99,88,0,4.61,ES,1689980159
383,sibay,52.7181,58.6658,63.57,56,99,4.07,RU,1689980159
384,antofagasta,-23.65,-70.4,63.68,89,43,10.78,CL,1689979925
385,quibdo,5.6947,-76.6611,86.34,84,40,5.75,CO,1689980159
386,guangyuan,32.442,105.823,75.7,96,57,1.54,CN,1689980160
387,ballina,-28.8667,153.5667,55.78,67,6,10.65,AU,1689980160
388,bermejillo,25.8833,-103.6167,98.1,17,85,11.95,MX,1689980160
389,robertsport,6.7533,-11.3686,77.63,87,98,14.61,LR,1689980160
390,gulf shores,30.246,-87.7008,94.57,62,0,12.66,US,1689980160
391,tres lagoas,-20.7511,-51.6783,75.2,40,0,6.31,BR,1689980160
392,tobelo,1.7284,128.0095,80.17,80,19,6.71,ID,1689980160
393,along,28.1667,94.7667,74.91,90,64,1.81,IN,1689980161
394,sao joao da barra,-21.6403,-41.0511,69.89,63,99,10.36,BR,1689980161
395,ntui,4.45,11.6333,69.96,99,100,4.76,CM,1689980161
396,qaqortoq,60.7167,-46.0333,45.34,91,33,0.78,GL,1689980161
397,makarov,48.6333,142.8,70.47,73,84,8.12,RU,1689980161
398,bykhaw,53.5193,30.2469,52.86,80,11,5.97,BY,1689980161
399,dakhla,23.6848,-15.958,69.22,84,0,28.07,EH,1689980161
400,gorey,52.6747,-6.2925,58.57,95,100,9.66,IE,1689979967
401,huadian,42.9633,126.7478,75.15,84,95,3.04,CN,1689980162
402,santona,43.4439,-3.4576,67.19,87,30,3.76,ES,1689980162
403,malmberget,67.1753,20.6549,50.56,87,100,8.05,SE,1689980162
404,quatre cocos,-20.2078,57.7625,71.71,72,13,14.34,MU,1689980162
405,dolores,-36.3132,-57.6792,68.56,81,100,14.23,AR,1689980162
406,thunder bay,48.4001,-89.3168,75.18,49,75,9.22,CA,1689980162
407,vilhena,-12.7406,-60.1458,80.82,39,0,4.61,BR,1689980162
408,whitefish,48.4111,-114.3376,95.5,20,0,13.8,US,1689980163
409,oppdal,62.5943,9.6912,48.04,96,99,3.24,NO,1689980163
410,namibe,-15.1961,12.1522,64.15,84,77,5.28,AO,1689980163
411,darovskoy,58.77,47.9564,53.24,88,99,5.1,RU,1689980163
412,rio grande,-32.035,-52.0986,65.95,87,17,13.67,BR,1689980163
413,pawni,20.7833,79.6333,77.02,95,100,4.74,IN,1689980164
414,merizo village,13.2658,144.6691,85.73,90,100,10.45,GU,1689980164
415,antsohihy,-14.8796,47.9875,73.69,57,69,11.81,MG,1689980164
416,greater sudbury,46.49,-80.99,74.37,64,74,6.31,CA,1689979951
417,mutuali,-14.8706,37.0044,65.79,74,82,3.8,MZ,1689980164
418,kavaje,41.1856,19.5569,78.96,50,12,5.57,AL,1689980164
419,prince rupert,54.3161,-130.3201,65.89,88,100,5.75,CA,1689979922
420,porto novo,6.4965,2.6036,78.62,87,74,9.98,BJ,1689980165
421,nieuw nickerie,5.95,-56.9833,79.16,83,76,8.12,SR,1689980165
422,qarazhal,48.0078,70.7903,65.28,63,8,6.02,KZ,1689980165
423,scarborough,54.2797,-0.4044,55.78,87,92,3.0,GB,1689979992
424,miri,4.4148,114.0089,73.54,100,40,6.91,MY,1689980165
425,yukhnov,54.7444,35.2297,52.57,88,46,6.42,RU,1689980165
426,galliano,29.4422,-90.2992,96.8,56,40,9.22,US,1689980165
427,labrador city,52.9463,-66.9114,64.31,63,100,3.44,CA,1689980166
428,hithadhoo,-0.6,73.0833,81.45,79,90,5.26,MV,1689980166
429,agat village,13.3886,144.6585,86.11,88,40,4.61,GU,1689980166
430,puerto rico,-26.796,-55.024,71.35,75,22,5.99,AR,1689980166
431,antonio enes,-16.2325,39.9086,72.5,74,0,10.36,MZ,1689980166
432,williams lake,52.1415,-122.1445,83.77,28,75,4.61,CA,1689980166
